Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)
500.00000E-3	105.15595E-12	500.00000E-3	-43.058098E-9	5.5705371E-12	105.46920E-12	500.00000E-3	-43.038010E-9	5.1933128E-12
513.72552E-3	105.27330E-12	513.72552E-3	-43.055813E-9	5.5858473E-12	105.19381E-12	513.72552E-3	-43.032429E-9	5.7769197E-12
527.45098E-3	105.41383E-12	527.45098E-3	-43.053433E-9	6.0890928E-12	105.53531E-12	527.45098E-3	-43.024500E-9	6.0416607E-12
541.17650E-3	105.20265E-12	541.17650E-3	-43.050932E-9	6.3014351E-12	105.45432E-12	541.17650E-3	-43.019600E-9	6.0396128E-12
554.90196E-3	105.40946E-12	554.90196E-3	-43.043563E-9	6.1746936E-12	105.52583E-12	554.90196E-3	-43.016641E-9	5.9276685E-12
568.62748E-3	105.34534E-12	568.62748E-3	-43.036071E-9	6.1714986E-12	105.79453E-12	568.62748E-3	-43.014964E-9	6.0329138E-12
582.35294E-3	105.42406E-12	582.35294E-3	-43.031520E-9	6.3787977E-12	105.50091E-12	582.35294E-3	-43.010957E-9	6.3092157E-12
596.07846E-3	105.58057E-12	596.07846E-3	-43.025864E-9	6.5811020E-12	105.73652E-12	596.07846E-3	-43.003137E-9	6.9994141E-12
609.80392E-3	106.07591E-12	609.80392E-3	-43.017710E-9	6.7386825E-12	105.53809E-12	609.80392E-3	-42.994454E-9	6.6550936E-12
623.52943E-3	105.85589E-12	623.52943E-3	-43.013479E-9	7.0432063E-12	106.24194E-12	623.52943E-3	-42.986727E-9	6.9497698E-12
637.25489E-3	105.72202E-12	637.25489E-3	-43.006683E-9	7.0965668E-12	105.69364E-12	637.25489E-3	-42.987640E-9	7.3734985E-12
650.98041E-3	105.49892E-12	650.98041E-3	-43.003052E-9	7.1756485E-12	105.28483E-12	650.98041E-3	-42.986940E-9	6.9723186E-12
664.70587E-3	106.15081E-12	664.70587E-3	-42.996636E-9	7.2686696E-12	105.59482E-12	664.70587E-3	-42.977945E-9	7.1787918E-12
678.43139E-3	106.26890E-12	678.43139E-3	-42.988077E-9	6.9351291E-12	105.17156E-12	678.43139E-3	-42.968690E-9	7.3955373E-12
692.15685E-3	105.61219E-12	692.15685E-3	-42.988084E-9	6.2585657E-12	105.57583E-12	692.15685E-3	-42.957090E-9	6.5012054E-12
705.88237E-3	105.66863E-12	705.88237E-3	-42.980670E-9	5.6528376E-12	105.86641E-12	705.88237E-3	-42.953744E-9	5.6934470E-12
719.60783E-3	105.26985E-12	719.60783E-3	-42.977273E-9	5.0016944E-12	105.97315E-12	719.60783E-3	-42.958973E-9	5.2308986E-12
733.33335E-3	105.24609E-12	733.33335E-3	-42.973518E-9	4.8039871E-12	105.60370E-12	733.33335E-3	-42.959318E-9	4.5933587E-12
747.05881E-3	105.48441E-12	747.05881E-3	-42.971440E-9	4.0901054E-12	105.33099E-12	747.05881E-3	-42.954092E-9	4.3382706E-12
760.78433E-3	105.59244E-12	760.78433E-3	-42.970075E-9	4.2778125E-12	105.47096E-12	760.78433E-3	-42.944698E-9	4.1019098E-12
774.50979E-3	105.40093E-12	774.50979E-3	-42.969930E-9	4.4320242E-12	105.51786E-12	774.50979E-3	-42.938488E-9	4.2956988E-12
788.23531E-3	105.42271E-12	788.23531E-3	-42.966310E-9	4.3400739E-12	105.89463E-12	788.23531E-3	-42.939803E-9	4.3741044E-12
801.96083E-3	105.62145E-12	801.96077E-3	-42.961830E-9	4.3581445E-12	105.52442E-12	801.96077E-3	-42.946262E-9	4.2600858E-12
815.68629E-3	105.34558E-12	815.68629E-3	-42.958451E-9	3.9837582E-12	105.77017E-12	815.68629E-3	-42.946759E-9	4.2576121E-12
829.41175E-3	105.78124E-12	829.41175E-3	-42.952269E-9	4.4140715E-12	105.18827E-12	829.41175E-3	-42.942123E-9	4.3701223E-12
843.13726E-3	105.57202E-12	843.13726E-3	-42.952358E-9	4.7788756E-12	105.27808E-12	843.13726E-3	-42.933102E-9	4.7698317E-12
856.86278E-3	105.87386E-12	856.86272E-3	-42.950489E-9	4.9161556E-12	105.46986E-12	856.86272E-3	-42.926025E-9	5.2010041E-12
870.58824E-3	105.41933E-12	870.58824E-3	-42.949736E-9	5.0273314E-12	105.56846E-12	870.58824E-3	-42.928363E-9	5.2289392E-12
884.31370E-3	105.46847E-12	884.31370E-3	-42.945008E-9	5.5639143E-12	105.49039E-12	884.31370E-3	-42.931216E-9	5.6425476E-12
898.03922E-3	105.69440E-12	898.03922E-3	-42.937316E-9	5.6551044E-12	105.52620E-12	898.03922E-3	-42.928665E-9	5.9156556E-12
911.76474E-3	105.30557E-12	911.76468E-3	-42.935469E-9	6.4235418E-12	105.65915E-12	911.76468E-3	-42.918067E-9	5.7879799E-12
925.49020E-3	105.74936E-12	925.49020E-3	-42.930257E-9	6.4680674E-12	105.70757E-12	925.49020E-3	-42.907516E-9	6.5963116E-12
939.21566E-3	105.94186E-12	939.21566E-3	-42.922530E-9	6.6349044E-12	105.64424E-12	939.21566E-3	-42.902833E-9	6.8788105E-12
952.94118E-3	105.85984E-12	952.94118E-3	-42.917613E-9	6.6415233E-12	105.41662E-12	952.94118E-3	-42.903498E-9	6.9119931E-12
966.66670E-3	105.50032E-12	966.66664E-3	-42.911910E-9	6.9768917E-12	105.53258E-12	966.66664E-3	-42.902126E-9	6.8817309E-12
980.39216E-3	105.42660E-12	980.39216E-3	-42.906244E-9	7.2095945E-12	105.27100E-12	980.39216E-3	-42.897959E-9	6.9273801E-12
994.11762E-3	105.29804E-12	994.11762E-3	-42.900673E-9	6.8460385E-12	105.17698E-12	994.11762E-3	-42.887596E-9	6.9403034E-12
1.0078431E+0	105.14919E-12	1.0078431E+0	-42.897145E-9	6.8375939E-12	105.52981E-12	1.0078431E+0	-42.875143E-9	7.1140025E-12
1.0215687E+0	105.29205E-12	1.0215687E+0	-42.891863E-9	6.4740392E-12	105.44751E-12	1.0215687E+0	-42.870308E-9	6.8903507E-12
1.0352941E+0	105.56928E-12	1.0352942E+0	-42.884501E-9	6.6364362E-12	105.52437E-12	1.0352942E+0	-42.868756E-9	6.6537865E-12
1.0490196E+0	105.58731E-12	1.0490196E+0	-42.875776E-9	6.1142103E-12	105.55100E-12	1.0490196E+0	-42.867473E-9	6.0428064E-12
1.0627451E+0	106.39809E-12	1.0627451E+0	-42.864958E-9	5.9807563E-12	105.74268E-12	1.0627451E+0	-42.864091E-9	6.1713685E-12
1.0764706E+0	105.21359E-12	1.0764706E+0	-42.869186E-9	5.8127739E-12	105.37219E-12	1.0764706E+0	-42.857998E-9	5.8844383E-12
1.0901961E+0	105.52743E-12	1.0901961E+0	-42.867484E-9	5.8718625E-12	105.20365E-12	1.0901961E+0	-42.848242E-9	5.4780746E-12
1.1039217E+0	105.34595E-12	1.1039215E+0	-42.865384E-9	5.4219801E-12	105.44876E-12	1.1039215E+0	-42.842050E-9	5.7131964E-12
1.1176471E+0	106.01367E-12	1.1176471E+0	-42.855564E-9	5.6189315E-12	105.57562E-12	1.1176471E+0	-42.840615E-9	5.3273622E-12
1.1313726E+0	105.86678E-12	1.1313726E+0	-42.848630E-9	5.2907500E-12	105.70535E-12	1.1313726E+0	-42.844210E-9	5.2740780E-12
1.1450980E+0	105.49485E-12	1.1450981E+0	-42.846647E-9	5.1294429E-12	105.24358E-12	1.1450981E+0	-42.844416E-9	5.3421447E-12
1.1588235E+0	105.59712E-12	1.1588235E+0	-42.844437E-9	5.2902509E-12	105.08005E-12	1.1588235E+0	-42.837282E-9	4.9020696E-12
1.1725490E+0	105.37683E-12	1.1725490E+0	-42.843268E-9	5.2189715E-12	105.71524E-12	1.1725490E+0	-42.821416E-9	5.0922894E-12
1.1862745E+0	105.37637E-12	1.1862745E+0	-42.839972E-9	4.9769026E-12	106.18311E-12	1.1862745E+0	-42.817597E-9	5.3308985E-12
1.2000000E+0	105.24010E-12	1.2000000E+0	-42.836341E-9	4.8760709E-12	105.42035E-12	1.2000000E+0	-42.823508E-9	4.9562776E-12
1.2137256E+0	105.49867E-12	1.2137254E+0	-42.830823E-9	5.2628631E-12	105.27098E-12	1.2137254E+0	-42.827381E-9	4.8801293E-12
1.2274510E+0	105.77179E-12	1.2274510E+0	-42.825310E-9	5.1536462E-12	105.18098E-12	1.2274510E+0	-42.824734E-9	5.3803429E-12
1.2411765E+0	105.38186E-12	1.2411765E+0	-42.825192E-9	5.5022475E-12	105.11894E-12	1.2411765E+0	-42.813440E-9	5.4991151E-12
1.2549019E+0	105.41367E-12	1.2549020E+0	-42.819515E-9	5.7706691E-12	105.14316E-12	1.2549020E+0	-42.802899E-9	5.6854959E-12
1.2686274E+0	105.54717E-12	1.2686274E+0	-42.813326E-9	6.2010059E-12	105.62096E-12	1.2686274E+0	-42.797538E-9	5.9852314E-12
1.2823529E+0	105.29292E-12	1.2823529E+0	-42.810189E-9	6.0854616E-12	105.72639E-12	1.2823529E+0	-42.799350E-9	6.0668844E-12
1.2960784E+0	105.17515E-12	1.2960784E+0	-42.804235E-9	6.6415129E-12	105.51412E-12	1.2960784E+0	-42.800970E-9	6.5943613E-12
1.3098040E+0	105.63700E-12	1.3098040E+0	-42.797822E-9	6.8439130E-12	105.05463E-12	1.3098040E+0	-42.794028E-9	7.0956140E-12
1.3235295E+0	105.48991E-12	1.3235294E+0	-42.790738E-9	7.6464659E-12	105.46562E-12	1.3235294E+0	-42.778897E-9	7.3685147E-12
1.3372549E+0	105.41644E-12	1.3372549E+0	-42.786372E-9	7.7457893E-12	105.65278E-12	1.3372549E+0	-42.765500E-9	7.8688236E-12
1.3509804E+0	105.33525E-12	1.3509804E+0	-42.779547E-9	7.6917665E-12	105.92889E-12	1.3509804E+0	-42.762725E-9	8.4346237E-12
1.3647058E+0	105.47235E-12	1.3647059E+0	-42.770871E-9	7.6987366E-12	106.17008E-12	1.3647059E+0	-42.760664E-9	7.9471985E-12
1.3784313E+0	105.47739E-12	1.3784313E+0	-42.761389E-9	7.5907917E-12	105.79766E-12	1.3784313E+0	-42.757172E-9	7.7773638E-12
1.3921568E+0	105.27298E-12	1.3921568E+0	-42.753637E-9	7.5159141E-12	106.07375E-12	1.3921568E+0	-42.742652E-9	7.3833457E-12
1.4058824E+0	105.29018E-12	1.4058824E+0	-42.748646E-9	7.0740597E-12	106.07936E-12	1.4058824E+0	-42.733610E-9	7.1357499E-12
1.4196079E+0	105.32979E-12	1.4196079E+0	-42.745118E-9	6.7443030E-12	105.70792E-12	1.4196079E+0	-42.729923E-9	6.7282607E-12
1.4333334E+0	105.54795E-12	1.4333333E+0	-42.740691E-9	6.2430894E-12	105.39438E-12	1.4333333E+0	-42.729489E-9	6.7181308E-12
1.4470589E+0	105.83108E-12	1.4470588E+0	-42.730306E-9	5.7304114E-12	105.61523E-12	1.4470588E+0	-42.726128E-9	5.7099069E-12
1.4607843E+0	105.49372E-12	1.4607843E+0	-42.726054E-9	5.3843796E-12	105.51688E-12	1.4607843E+0	-42.721318E-9	5.2452552E-12
1.4745098E+0	105.50114E-12	1.4745098E+0	-42.721620E-9	5.0072368E-12	105.37683E-12	1.4745098E+0	-42.715893E-9	5.0053408E-12
1.4882352E+0	105.43810E-12	1.4882352E+0	-42.719826E-9	4.7514098E-12	105.85095E-12	1.4882352E+0	-42.707569E-9	4.5699985E-12
1.5019608E+0	105.34965E-12	1.5019608E+0	-42.719954E-9	4.6401932E-12	105.75123E-12	1.5019608E+0	-42.704208E-9	4.2236006E-12
1.5156863E+0	105.39883E-12	1.5156863E+0	-42.714916E-9	4.5687490E-12	105.66490E-12	1.5156863E+0	-42.704428E-9	4.5308158E-12
1.5294118E+0	105.27842E-12	1.5294118E+0	-42.712340E-9	4.0507753E-12	105.86704E-12	1.5294118E+0	-42.704531E-9	4.1396140E-12
1.5431373E+0	105.22271E-12	1.5431373E+0	-42.710035E-9	3.8424311E-12	105.39501E-12	1.5431373E+0	-42.706017E-9	4.1553215E-12
1.5568627E+0	105.57925E-12	1.5568627E+0	-42.707807E-9	3.9039002E-12	105.38553E-12	1.5568627E+0	-42.701032E-9	3.8747447E-12
1.5705882E+0	105.85183E-12	1.5705882E+0	-42.703402E-9	3.9071363E-12	105.31373E-12	1.5705882E+0	-42.694563E-9	3.6893327E-12
1.5843138E+0	105.64688E-12	1.5843138E+0	-42.704393E-9	3.7686655E-12	105.25058E-12	1.5843138E+0	-42.691138E-9	3.5895499E-12
1.5980393E+0	105.83578E-12	1.5980393E+0	-42.696680E-9	4.1333859E-12	105.37292E-12	1.5980393E+0	-42.691756E-9	3.8726292E-12
1.6117647E+0	105.57317E-12	1.6117647E+0	-42.694285E-9	3.7271197E-12	105.64065E-12	1.6117647E+0	-42.693461E-9	3.7494951E-12
1.6254902E+0	105.29470E-12	1.6254902E+0	-42.693895E-9	3.4285845E-12	105.32945E-12	1.6254902E+0	-42.696218E-9	3.7763317E-12
1.6392157E+0	105.16590E-12	1.6392157E+0	-42.695866E-9	3.5078496E-12	105.55323E-12	1.6392157E+0	-42.690139E-9	3.7871880E-12
1.6529412E+0	105.61379E-12	1.6529412E+0	-42.695724E-9	3.7977165E-12	105.40915E-12	1.6529412E+0	-42.681606E-9	3.4621128E-12
1.6666666E+0	105.29112E-12	1.6666666E+0	-42.695621E-9	3.8317400E-12	105.67869E-12	1.6666666E+0	-42.674930E-9	3.5319562E-12
1.6803921E+0	105.56009E-12	1.6803921E+0	-42.689798E-9	3.8420551E-12	105.67017E-12	1.6803921E+0	-42.678128E-9	3.8324942E-12
1.6941177E+0	105.35862E-12	1.6941177E+0	-42.682768E-9	4.1270980E-12	105.50436E-12	1.6941177E+0	-42.684277E-9	3.5125232E-12
1.7078432E+0	105.41106E-12	1.7078432E+0	-42.679414E-9	3.4608241E-12	105.34267E-12	1.7078432E+0	-42.686231E-9	3.9277023E-12
1.7215686E+0	105.34276E-12	1.7215686E+0	-42.681204E-9	3.6081767E-12	105.07650E-12	1.7215686E+0	-42.680114E-9	3.7912486E-12
1.7352941E+0	105.61074E-12	1.7352941E+0	-42.682508E-9	4.0183759E-12	105.70675E-12	1.7352941E+0	-42.667878E-9	3.6457113E-12
1.7490196E+0	105.26553E-12	1.7490196E+0	-42.680799E-9	3.8969986E-12	106.00518E-12	1.7490196E+0	-42.662382E-9	3.7461952E-12
1.7627451E+0	105.46784E-12	1.7627451E+0	-42.675953E-9	3.7988909E-12	105.74445E-12	1.7627451E+0	-42.669093E-9	3.7647416E-12
1.7764705E+0	105.36417E-12	1.7764705E+0	-42.672358E-9	3.7354538E-12	105.66095E-12	1.7764705E+0	-42.670461E-9	3.8534991E-12
1.7901961E+0	105.26934E-12	1.7901961E+0	-42.671349E-9	4.0571648E-12	105.86616E-12	1.7901961E+0	-42.670742E-9	3.8977320E-12
1.8039216E+0	105.06513E-12	1.8039216E+0	-42.672365E-9	3.8749008E-12	105.74127E-12	1.8039216E+0	-42.661068E-9	3.9599934E-12
1.8176471E+0	105.45987E-12	1.8176471E+0	-42.669214E-9	4.1189799E-12	105.29969E-12	1.8176471E+0	-42.657483E-9	4.1157798E-12
1.8313726E+0	105.51444E-12	1.8313725E+0	-42.663387E-9	4.1528196E-12	105.36420E-12	1.8313725E+0	-42.653902E-9	4.1272463E-12
1.8450980E+0	105.27711E-12	1.8450980E+0	-42.658662E-9	3.7484855E-12	105.38774E-12	1.8450980E+0	-42.656954E-9	4.0870640E-12
1.8588235E+0	105.31057E-12	1.8588235E+0	-42.656293E-9	3.8965337E-12	105.60944E-12	1.8588235E+0	-42.660112E-9	4.0167071E-12
1.8725491E+0	105.33395E-12	1.8725491E+0	-42.656545E-9	3.8367486E-12	105.17765E-12	1.8725491E+0	-42.660524E-9	3.9105164E-12
1.8862746E+0	105.21331E-12	1.8862745E+0	-42.659615E-9	4.0714979E-12	105.52721E-12	1.8862745E+0	-42.649933E-9	4.1857733E-12
1.9000000E+0	105.27203E-12	1.9000000E+0	-42.657920E-9	4.0985323E-12	105.71773E-12	1.9000000E+0	-42.640689E-9	4.2155316E-12
1.9137255E+0	105.50998E-12	1.9137255E+0	-42.651028E-9	4.3709441E-12	105.26471E-12	1.9137255E+0	-42.640025E-9	4.2011152E-12
1.9274510E+0	105.65391E-12	1.9274510E+0	-42.641023E-9	4.1161046E-12	105.57346E-12	1.9274510E+0	-42.640433E-9	4.0357370E-12
1.9411765E+0	105.21280E-12	1.9411764E+0	-42.637705E-9	4.0069966E-12	105.54224E-12	1.9411764E+0	-42.647418E-9	4.1201439E-12
1.9549019E+0	105.33539E-12	1.9549019E+0	-42.637833E-9	4.2324351E-12	105.72525E-12	1.9549019E+0	-42.643954E-9	4.4532637E-12
1.9686275E+0	105.43760E-12	1.9686275E+0	-42.640437E-9	4.3011475E-12	105.89606E-12	1.9686275E+0	-42.632944E-9	4.5834473E-12
1.9823530E+0	105.40489E-12	1.9823530E+0	-42.641609E-9	4.2539232E-12	105.94485E-12	1.9823530E+0	-42.626024E-9	4.3711311E-12
1.9960785E+0	105.90399E-12	1.9960784E+0	-42.633232E-9	4.3534234E-12	105.57585E-12	1.9960784E+0	-42.623004E-9	4.1909484E-12
2.0098038E+0	105.88441E-12	2.0098040E+0	-42.623437E-9	4.3405834E-12	105.61311E-12	2.0098040E+0	-42.627786E-9	4.3492870E-12
2.0235295E+0	105.29826E-12	2.0235295E+0	-42.623697E-9	4.1636993E-12	105.83730E-12	2.0235295E+0	-42.629786E-9	4.3645248E-12
2.0372548E+0	105.45624E-12	2.0372548E+0	-42.623824E-9	4.5257778E-12	105.45122E-12	2.0372548E+0	-42.626993E-9	4.2840280E-12
2.0509806E+0	105.22910E-12	2.0509803E+0	-42.625082E-9	4.3251440E-12	105.32153E-12	2.0509803E+0	-42.618659E-9	4.2472783E-12
2.0647058E+0	105.56468E-12	2.0647058E+0	-42.619693E-9	4.2125600E-12	105.52482E-12	2.0647058E+0	-42.609194E-9	4.2818657E-12
2.0784314E+0	105.42802E-12	2.0784314E+0	-42.612808E-9	4.5010259E-12	105.69336E-12	2.0784314E+0	-42.607212E-9	4.4996906E-12
2.0921569E+0	105.28044E-12	2.0921569E+0	-42.607230E-9	4.3840652E-12	105.57032E-12	2.0921569E+0	-42.613078E-9	4.4018994E-12
2.1058824E+0	105.06419E-12	2.1058824E+0	-42.608214E-9	4.5447587E-12	105.34355E-12	2.1058824E+0	-42.615579E-9	4.8214184E-12
2.1196079E+0	105.30295E-12	2.1196079E+0	-42.610072E-9	4.5513363E-12	105.44592E-12	2.1196079E+0	-42.612481E-9	4.3315286E-12
2.1333332E+0	105.45905E-12	2.1333334E+0	-42.609489E-9	4.5837136E-12	104.98920E-12	2.1333334E+0	-42.603400E-9	4.1586665E-12
2.1470590E+0	105.90430E-12	2.1470587E+0	-42.601862E-9	4.4445385E-12	105.43705E-12	2.1470587E+0	-42.592045E-9	4.7495076E-12
2.1607842E+0	105.80808E-12	2.1607842E+0	-42.591889E-9	4.5190878E-12	105.46024E-12	2.1607842E+0	-42.589999E-9	4.5057595E-12
2.1745098E+0	105.37597E-12	2.1745098E+0	-42.586468E-9	4.3537795E-12	105.70140E-12	2.1745098E+0	-42.590752E-9	4.3800311E-12
2.1882353E+0	105.18196E-12	2.1882353E+0	-42.586109E-9	4.5854622E-12	105.90712E-12	2.1882353E+0	-42.598035E-9	5.0779199E-12
2.2019608E+0	105.03365E-12	2.2019608E+0	-42.589182E-9	4.8354632E-12	105.13726E-12	2.2019608E+0	-42.594703E-9	4.5805508E-12
2.2156863E+0	105.42121E-12	2.2156863E+0	-42.589090E-9	4.8417368E-12	105.42064E-12	2.2156863E+0	-42.581028E-9	4.5341981E-12
2.2294116E+0	105.42450E-12	2.2294118E+0	-42.584404E-9	4.6271290E-12	105.34774E-12	2.2294118E+0	-42.573078E-9	4.6273423E-12
2.2431374E+0	105.57399E-12	2.2431374E+0	-42.575600E-9	4.5694767E-12	105.40462E-12	2.2431374E+0	-42.574875E-9	4.2669735E-12
2.2568626E+0	105.32959E-12	2.2568626E+0	-42.569130E-9	4.7493190E-12	105.41419E-12	2.2568626E+0	-42.579412E-9	4.6707417E-12
2.2705884E+0	105.42714E-12	2.2705882E+0	-42.566903E-9	4.7553667E-12	105.58571E-12	2.2705882E+0	-42.580478E-9	5.2386385E-12
2.2843137E+0	105.45163E-12	2.2843137E+0	-42.567031E-9	4.9251775E-12	104.97808E-12	2.2843137E+0	-42.572893E-9	5.1432257E-12
2.2980392E+0	105.32564E-12	2.2980392E+0	-42.566246E-9	5.1249499E-12	105.27626E-12	2.2980392E+0	-42.557240E-9	4.5417854E-12
2.3117647E+0	105.30221E-12	2.3117647E+0	-42.559190E-9	5.0798549E-12	105.57494E-12	2.3117647E+0	-42.551452E-9	4.7372106E-12
2.3254902E+0	105.39451E-12	2.3254902E+0	-42.550091E-9	5.2414848E-12	105.83832E-12	2.3254902E+0	-42.553058E-9	5.0244956E-12
2.3392158E+0	105.13471E-12	2.3392158E+0	-42.547573E-9	4.9462236E-12	105.67772E-12	2.3392158E+0	-42.558952E-9	5.2087566E-12
2.3529410E+0	105.23887E-12	2.3529413E+0	-42.548177E-9	5.2910254E-12	105.23962E-12	2.3529413E+0	-42.558312E-9	5.5026331E-12
2.3666668E+0	105.46904E-12	2.3666666E+0	-42.545942E-9	5.2494328E-12	105.11662E-12	2.3666666E+0	-42.547022E-9	5.2952048E-12
2.3803921E+0	105.59854E-12	2.3803921E+0	-42.541554E-9	5.7129553E-12	105.20271E-12	2.3803921E+0	-42.535774E-9	5.4773764E-12
2.3941178E+0	105.60556E-12	2.3941176E+0	-42.529550E-9	5.7599797E-12	105.35979E-12	2.3941176E+0	-42.530374E-9	5.5544627E-12
2.4078431E+0	105.30709E-12	2.4078431E+0	-42.521073E-9	5.5809610E-12	105.63515E-12	2.4078431E+0	-42.530345E-9	5.5848798E-12
